English,Turkish,Indonesian,German,Arabic,Spanish,Hindi,French
Next,Sonraki,Berikutnya,Nächste,التالي,Siguiente,अगला,Suivant
OK,TAMAM,OKE,OK,حسنا,OK,ठीक है,D\'ACCORD
Cancel,İptal et,Membatalkan,Abbrechen,إلغاء,Cancelar,रद्द करना,Annuler
Retry,Yeniden dene,Mencoba kembali,Wiederholen,أعد المحاولة,Intentar de nuevo,ुन: प्रयास करे,Recommencez
Dismiss,Azlet,Membubarkan,Ablehnen,إلغاء,Descartar,नकार देना,Rejeter
Enable location access,Konum erişimini etkinleştir,Aktifkan akses lokasi,Standortzugriff aktivieren,تفعيل استخدام الموقع,Habilitar acceso a la ubicación,स्थान पहुंच सक्षम करे,Activer l\'accès à la localisation
Get started,Başla,Memulai,Loslegen,ابدأ الآن,Empezar,शुरू हो जाओ,Commencer
Enable notifications,Bildirimleri etkinleştir,Aktifkan notifikasi,Benachrichtigungen aktivieren,تفعيل الإشعارات,Permitir notificaciones,सूचनाएं सक्षम करें,Activer les notifications
Never miss Fajr prayer!,Sabah namazını asla kaçırmayın!,Jangan pernah melewatkan shalat Subuh!,Verpassen Sie niemals das Fajr-Gebet!,لا تفوت صلاة الفجر!,¡Nunca te pierdas la oración del Faŷr!,फज्र की नमाज़ कभी न चूकें!,Ne manquez jamais la prière du Fajr !
Wake up for Fajr by completing fun challenges,Eğlenceli mücadeleleri tamamlayarak sabah namazına uyanın,Bangun untuk Fajar dengan menyelesaikan tantangan menyenangkan,"achen Sie für Fajr auf, indem Sie lustige Herausforderungen meistern",استيقظ لصلاة الفجر من خلال استكمال تحديات ممتعة,Despierta para Faŷr completando divertidos desafíos,मजेदार चुनौतियों को पूरा करके फज्र के लिए जागें,Réveillez-vous pour Fajr en relevant des défis amusants
it will make sure the alarm works properly,alarmın düzgün çalıştığından emin olmanızı sağlar,itu akan memastikan alarm berfungsi dengan baik,"Dadurch wird sichergestellt, dass der Alarm ordnungsgemäß funktioniert",هذا للتاكد ان المنبه يعمل بشكل صحيح,Se asegurará de que la alarma funcione correctamente.,यह सुनिश्चित करेगा कि अलार्म ठीक से काम कर,cela garantira que l\'alarme fonctionne correctement
it will help us get the right prayer times for you,sizin için doğru namaz vakitlerini bulmamıza yardımcı olacaktır,ini akan membantu kami mendapatkan waktu sholat yang tepat untuk Anda,"Es wird uns helfen, die richtigen Gebetszeiten für Sie zu finden",هذا سيساعدنا لتحديد مواعيد الصلاة الصحيحة لك,Nos ayudará a conseguir los momentos de oración adecuados para usted.,इससे हमें आपके लिए सही प्रार्थना समय प्राप्त करने में मदद मिलेगी,cela nous aidera à trouver les bons horaires de prière pour vous
Azan Sounds,Ezan Sesleri,Suara Azan,Azan-Sounds,صوت الآذان,Sonidos de Azán,अज़ान की आवाज़,Sons Azan
Fajr alarm sound,Sabah alarmı sesi,Suara alarm Subuh,Fajr-Alarmton,صوت منبه الفجر,Sonido de alarma Faŷr,फज्र अलार्म ध्वनि,Son d\'alarme Fajr
Azan Sounds,Ezan,Azan,Azan,آذان,Azán,अज़ान,Azan
Other,Diğer,Lainnya,Andere,آخرى,Otro,अन्य,Autre
Please check your internet connection and try again,Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,Silakan periksa koneksi internet Anda dan coba lagi,Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,من فضلك تأكد من الاتصال بالانترنت وحاول مرة اخرى,"Por favor, verifica tu conexión a Internet e inténtalo nuevamente.",पने इंटरनेट कनेक्शन की जाँच करें और पुन: प्रयास करे,"S\'il vous plaît, vérifiez votre connexion à internet et réessayez"
No internet connection. Please check your internet connection and try again,İnternet bağlantısı yok. Lütfen internet bağlantınızı kontrol edin ve tekrar deneyin,Tidak ada koneksi internet. Silakan periksa koneksi internet Anda dan coba lagi,Keine Internetverbindung. Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,لا يوجد اتصال بالنترنت. من فضلك تأكد من الاتصال بالانترنت وحاول مرة اخرى,"Sin conexión a Internet. Por favor, verifica tu conexión a Internet e inténtalo nuevamente.",कोई इंटरनेट कनेक्शन नहीं. अपने इंटरनेट कनेक्शन की जाँच करें और पुन: प्रयास करे,"Pas de connexion Internet. S\'il vous plaît, vérifiez votre connexion à internet et réessayez"
No internet connection. You need internet connection to download new sounds.,İnternet bağlantısı yok. Yeni sesler indirmek için internet bağlantısına ihtiyacınız var.,Tidak ada koneksi internet. Anda memerlukan koneksi internet untuk mengunduh suara baru.,Keine Internetverbindung. Bitte überprüfen Sie Ihre Internetverbindung und versuchen Sie es erneut,لا يوجد اتصال بالإنترنت. تحتاج إلى اتصال بالإنترنت لتنزيل أصوات جديدة.,,कोई इंटरनेट कनेक्शन नहीं. नई ध्वनियाँ डाउनलोड करने के लिए आपको इंटरनेट कनेक्शन की आवश्यकता है,Pas de connexion Internet. Vous avez besoin d\'une connexion Internet pour télécharger de nouveaux sons.
lease enable Fajr Alarm to send you notifications via your phone settings,Lütfen telefon ayarlarınız aracılığıyla size bildirim göndermesi için Sabah Alarmını etkinleştirin,Harap aktifkan Alarm Fajar untuk mengirimi Anda pemberitahuan melalui pengaturan telepon Anda,"Bitte aktivieren Sie Fajr Alarm, um Ihnen Benachrichtigungen über Ihre Telefoneinstellungen zu senden",يرجى تمكين منبه الفجر لإرسال إشعارات عبر إعدادات هاتفك,Sin conexión a Internet. Necesitas conexión a Internet para descargar nuevos sonidos.,ृपया अपनी फ़ोन सेटिंग के माध्यम से आपको सूचनाएं भेजने के लिए फज्र अलार्म को सक्षम करें,Veuillez activer l\'alarme Fajr pour vous envoyer des notifications via les paramètres de votre téléphone.
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,़ोन सेटिंग खोले,Ouvrir les paramètres du téléphone
Sending notifications is enabled,Bildirim gönderme etkin,Mengirim pemberitahuan diaktifkan,Das Senden von Benachrichtigungen ist aktiviert,تم منح الحصول إلى الإشعارات,El envío de notificaciones está habilitado.,ूचनाएं भेजना सक्षम है,L\'envoi de notifications est activé
Please enable Fajr Alarm to use your current location via your phone settings,,Harap aktifkan Alarm Fajar untuk menggunakan lokasi Anda saat ini melalui pengaturan telepon Anda,"Bitte aktivieren Sie Fajr Alarm, um Ihren aktuellen Standort über Ihre Telefoneinstellungen zu verwenden",يرجى تمكين الموقع لتحديد مواقيت الصلاة الصحيحة لك عبر إعدادات هاتفك,Habilita Faŷr Alarm para usar tu ubicación actual a través de la configuración de tu teléfono,कृपया अपनी फ़ोन सेटिंग के माध्यम से फ़ज्र अलार्म को अपने वर्तमान स्थान का उपयोग करने के लिए सक्षम करें,Veuillez activer l\'alarme Fajr pour utiliser votre position actuelle via les paramètres de votre téléphone.
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,़ोन सेटिंग खोलें,Ouvrir les paramètres du téléphone
Current location access granted,Mevcut konuma erişim izni verildi,Akses lokasi saat ini diberikan,Zugriff auf den aktuellen Standort gewährt,تم منح الوصول إلى الموقع الحالي,Acceso a la ubicación actual concedido,वर्तमान स्थान पहुंच प्रदान की गई,Accès à l\'emplacement actuel accordé
Please enable Fajr Alarm to schedule exact alarm permission,Lütfen telefon ayarlarınızdan mevcut konumunuzu kullanmak için Sabah Alarmını etkinleştirin,Harap aktifkan Alarm Fajar untuk menjadwalkan izin alarm yang tepat,"Bitte aktivieren Sie Fajr Alarm, um die genaue Alarmberechtigung zu planen",يرجى تمكين منبه الفجر لتحديد وقت المنبه بالضبط,Habilita Faŷr Alarm para programar el permiso de alarma exacto,कृपया सटीक अलार्म अनुमति शेड्यूल करने के लिए फज्र अलार्म को सक्षम करें,Veuillez activer l\'alarme Fajr pour planifier l\'autorisation exacte de l\'alarme.
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,फ़ोन सेटिंग खोलें,Ouvrir les paramètres du téléphone
App “schedule exact alarm permission” access granted,"Uygulamaya \""tam alarm planlama izni\"" erişimi verildi","Akses aplikasi \""jadwalkan izin alarm yang tepat\"" diberikan",App-Zugriff „Genaue Alarmberechtigung planen“ gewährt,"تم منح إذن ""تحديد وقت المنبه بالضبط"" للتطبيق",Acceso otorgado a la aplicación “programar permiso de alarma exacto”,"ऐप \""शेड्यूल सटीक अलार्म अनुमति\"" पहुंच प्रदान की गई",Accès à l\'application « planifier l\'autorisation exacte de l\'alarme » accordé
Please enable Fajr Alarm to use notification channels,Bildirim kanallarını kullanmak için lütfen Sabah Alarmını etkinleştirin,Harap aktifkan Alarm Fajar untuk menggunakan saluran notifikasi,"Bitte aktivieren Sie Fajr Alarm, um Benachrichtigungskanäle zu verwenden",يرجى تمكين منبه الفجر لاستخدام قنوات الإشعارات,Habilita Faŷr Alarm para usar canales de notificación,अधिसूचना चैनलों का उपयोग करने के लिए कृपया फज्र अलार्म को सक्षम करे,Veuillez activer l\'alarme Fajr pour utiliser les canaux de notification
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,फ़ोन सेटिंग खोलें,Ouvrir les paramètres du téléphone
Notification channels is enabled,Bildirim kanalları etkin,Saluran notifikasi diaktifkan,Benachrichtigungskanäle sind aktiviert,"تم منح إذن ""استخدام قنوات الإشعارات"" للتطبيق",Los canales de notificación están habilitados.,अधिसूचना चैनल सक्षम है,Les canaux de notification sont activés
Please make sure auto start permission is enabled for Fajr alarm app,Lütfen sabah alarmı uygulaması için otomatik başlatma izninin etkinleştirildiğinden emin olun,Harap pastikan izin mulai otomatis diaktifkan untuk aplikasi alarm Fajar,"Bitte stellen Sie sicher, dass die Autostart-Berechtigung für die Fajr-Alarm-App aktiviert ist",يرجى التأكد من تمكين إذن بدء التشغيل التلقائي لتطبيق منبه الفجر,Asegúrate de que el permiso de inicio automático esté habilitado para la aplicación de alarma Faŷr,कृपया सुनिश्चित करें कि फ़ज्र अलार्म ऐप के लिए ऑटो स्टार्ट अनुमति सक्षम है,Veuillez vous assurer que l\'autorisation de démarrage automatique est activée pour l\'application d\'alarme Fajr.
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,फ़ोन सेटिंग खोलें,Ouvrir les paramètres du téléphone
Please make sure “Running in the background permission” is enabled for Fajr alarm app,"Lütfen Sabah alarm uygulaması için \""Arka planda çalışma izninin\"" etkinleştirildiğinden emin olun","Harap pastikan \""Izin berjalan di latar belakang\"" diaktifkan untuk aplikasi alarm Fajar","Bitte stellen Sie sicher, dass die Berechtigung „Im Hintergrund ausführen“ für die Fajr-Alarm-App aktiviert ist",يرجى التأكد من تمكين إذن بدء التشغيل التلقائي لتطبيق منبه الفجر,Asegúrate de que el permiso de inicio automático esté habilitado para la aplicación de alarma Faŷr,"कृपया सुनिश्चित करें कि फ़ज्र अलार्म ऐप के लिए \""बैकग्राउंड में चलने की अनुमति\"" सक्षम है",Veuillez vous assurer que « Autorisation d\'exécution en arrière-plan » est activé pour l\'application d\'alarme Fajr.
Open phone settings,Telefon ayarlarını aç,Buka pengaturan telepon<,Öffnen Sie die Telefoneinstellungen,فتح إعدادات الهاتف,Abrir configuración del teléfono,फ़ोन सेटिंग खोलें,Ouvrir les paramètres du téléphone
Running in background is enabled,Arka planda çalıştırma etkinleştirildi,Berjalan di latar belakang diaktifkan,Die Ausführung im Hintergrund ist aktiviert,"تم منح إذن ""بدء التشغيل التلقائي"" للتطبيق",La ejecución en segundo plano está habilitada,पृष्ठभूमि में चलना सक्षम है,L\'exécution en arrière-plan est activée
Fajr,Sabah,Subuh,Fajr,الفجر,Faŷr,फज्र,Fajr
Sunrise,Gündoğumu,Matahari terbit,Sonnenaufgang,الشروق,Amanecer,सूर्योदय,Lever du soleil
Duhr,Öğlen,Dzuhur,Duhr,الظهر,Duhr,डुह्र,Dhuhr
Asr,İkindi,Ashar,Asr,العصر,Asr,अस्र,Asr
Maghrib,Akşam,Maghrib,Maghrib,المغرب,Magreb,मग़रिब,Maghrib
Isha,Yatsı,Isya,Isha,العشاء,Isha,ईशा,Isha
Fajr Alarm,Sabah Alarmı,Alarm Subuh,Fajr-Alarm,منبه الفجر,Alarma de Faŷr,फज्र अलार्म,Alarme Fajr
Preview Alarm,Alarmı Önizle,Pratinjau Alarm,Vorschaualarm,عرض المنبه,Vista previa de alarma,पूर्वावलोकन अलार्म,Aperçu de l\'alarme
Sunrise time,Gün doğumu zamanı,Waktu matahari terbit,Sonnenaufgangszeit,وقت الشروق,Hora del amanecer,सूर्योदय का समय,Heure du lever du soleil
Fajr time,Sabah vakti,Waktu Subuh,Fajr-Zeit,وقت الفجر,Hora del Faŷr,फज्र का समय,Heure du Fajr
Time,Zaman,Waktu,Zeit,الوقت,Tiempo,समय,Temps
Set Fajr alarm,Sabah alarmını ayarla,Setel alarm Fajar,Fajr-Alarm einstellen,ضبط منبه الفجر,Establecer alarma Faŷr,फज्र अलार्म सेट करें,Régler l\'alarme Fajr
Set Fajr alarm time,Sabah alarmı saatini ayarlayın,Atur waktu alarm Fajar,Fajr-Alarmzeit einstellen,ضبط وقت منبه الفجر,Establecer la hora de alarma de Faŷr,फज्र अलार्म का समय निर्धारित करे,Régler l\'heure de l\'alarme Fajr
Before Fajr,Sabahtan önce,Sebelum Subuh,Vor Fajr,قبل الفجر,Antes del Faŷr,फज्र से पहले,Avant le Fajr
After Fajr,Sabah namazından sonra,Setelah Subuh,Nach Fajr,بعد الفجر,Después del Faŷr,फज्र के बाद,Après le Fajr
Sound,Ses,Suara,Sound,الصوت,Sonido,आवाज़,Son
Challenge type,Mücadele türü,Tipe tantangan,Herausforderungstyp,نوع التحدي,Tipo de desafío,चुनौती प्रकार,Type de défi
Default,Varsayılan,Bawaan,Standard,منبه عادي,Por defecto,गलती करना,Défaut
Wake up without doing any challenge,Herhangi bir meydan okuma yapmadan uyanın,Bangun tanpa melakukan tantangan apa pun,"Wachen Sie auf, ohne sich einer Herausforderung zu stellen",الاستيقاظ بدون اي تحدي,Despierta sin hacer ningún desafío,बिना कोई चुनौती किये जागो,Réveillez-vous sans relever aucun défi
Questions,Sorular,Pertanyaan,Fragen,الأسئلة,Preguntas,प्रश्न,Des questions
Answer 3 questions to stop the alarm,Alarmı durdurmak için 3 soruyu yanıtlayı,Jawab 3 pertanyaan untuk menghentikan alarm,"Beantworten Sie 3 Fragen, um den Alarm zu stoppen",أجب عن ٣ أسئلة لإيقاف المنبه,Responde 3 preguntas para detener la alarma,अलार्म बंद करने के लिए 3 प्रश्नों के उत्तर दें,Répondez à 3 questions pour arrêter l\'alarme
Shake to wake,Uyanmak için sallayın,Kocok untuk bangun,Zum Aufwachen schütteln,هز الجهاز لتستيقظ,Agita para despertar,जगाने के लिए हिलाओ,Secouez pour vous réveiller
Shake your phone to stop the alarm,Alarmı durdurmak için telefonunuzu sallayın,Goyangkan ponsel Anda untuk menghentikan alarm,"Schütteln Sie Ihr Telefon, um den Alarm zu stoppen",هز هاتفك عدة مرات لإيقاف المنبه,Agita tu teléfono para detener la alarma,अलार्म बंद करने के लिए अपना फ़ोन हिलाएँ,Secouez votre téléphone pour arrêter l\'alarme
You will need to complete the challenge once the alarm is triggered,Alarm tetiklendiğinde mücadeleyi tamamlamanız gerekecek,Anda harus menyelesaikan tantangan setelah alarm berbunyi,"Sie müssen die Herausforderung abschließen, sobald der Alarm ausgelöst wird",ستحتاج إلى إكمال التحدي عندما يعمل المنبه,Deberás completar el desafío una vez que se active la alarma.,अलार्म बजने पर आपको चुनौती पूरी करनी होगी,Vous devrez relever le défi une fois l\'alarme déclenchée
Stop preview,Önizlemeyi durdur,Hentikan pratinjau,Vorschau stoppen,وقف العرض,Detener vista previa,पूर्वावलोकन बंद करो,Arrêter l\'aperçu
Well done!,Tebrikler!,Bagus sekali!,Gut gemacht!,أحسنت !,¡Bien hecho!,बहुत अच्छा!,Bien joué !
"\""The two Rak\'ah before the dawn (Fajr) prayer are better than this world and all it contains\""","\""Sabah namazından önceki iki rek\'at, dünya ve içindekilerden daha hayırlıdır.\""",“Dua rakaat sebelum salat subuh lebih baik dari dunia dan seisinya”,"„Die zwei Rak\'ah vor dem Morgengebet (Fajr) sind besser als diese Welt und alles, was sie enthält.“","\""ركعتا الفجر خير من الدنيا وما فيها\""","\""Las dos Rak\'ah antes de la oración del amanecer (Faŷr) son mejores que este mundo y todo lo que contiene\""","\""फज्र की नमाज़ से पहले की दो रकात इस दुनिया और इसमें मौजूद हर चीज़ से बेहतर हैं\""","\""Les deux Rak\'ah avant la prière de l\'aube (Fajr) valent mieux que ce monde et tout ce qu\'il contient\"""
Prayer times,İbadet zamanları,Waktu sholat,Gebetszeiten,أوقات الصلاة,Tiempos de oración,प्रार्थना का समय,Horaires de prière
Fajr alarm,Sabah alarmı,Alarm Subuh,Fajr-Alarm,منبه الفجر,Alarma de Faŷr,फज्र अलार्म,Alarme Fajr
Settings,Ayarlar,Pengaturan,Einstellunge,الإعدادات,Ajustes,समायोजन,Paramètres
Prayer settings,Dua ayarları,Pengaturan doa,Gebetseinstellungen,إعدادات الصلوات,Configuraciones de oración,प्रार्थना सेटिंग,Paramètres de prière
Azan sound,Ezan sesi,suara Azan,Azan-Sound,صوت الآذان,Sonido Azán,अज़ान की आवा,Son Azan
Location,Konum,Lokasi,Standort ,الموقع,Ubicación,जगह,Emplacement
Calculation method,Hesaplama yöntemi,Metode kalkulasi,Rechenmethode,طريقة الحساب,Método de cálculo,गणना विधि,Méthode de calcul
App permissions,Uygulama izinleri,Izin aplikasi,App-Berechtigungen,صلاحيات التطبيق,Permisos de aplicacione,एप्लिकेशन अनुमतियों,Autorisations des applications
General settings,Genel Ayarlar,Pengaturan Umum,Allgemeine Einstellungen,الإعدادات العامة,Configuración general,सामान्य सेटिंग्स,Réglages généraux
Language,Dil,Bahasa,Sprache,اللغات,Idioma,भाषा,Langue
Hijri calendar correction,Hicri takvim düzeltmesi,Koreksi penanggalan Hijriah,Korrektur des Hijri-Kalenders,تصحيح التقويم الهجري,Corrección del calendario Hijri,हिजरी कैलेंडर सुधार,Correction du calendrier Hijri
About,Hakkında,Tentang,Über,حول التطبيق,Acerca de,के बारे में,À propos
Contact us,Bize Ulaşın,Hubungi kami,Kontaktieren Sie uns,تواصل معنا,Configuración/corrección de hora,संपर्क करें,Contactez-nous
Rate app,Uygulamayı derecelendi,Nilai aplikasi,App bewerten,تقييم التطبيق,Contáctenos,एप्प का मूल्यांकन,Application de taux
Share app,Uygulamayı Paylaş,Bagikan aplikasi,App teilen,شارك التطبيق,Calificar aplicacion,ऐप शेयर करें,Partager l\'application
Our other products,Diğer ürünlerimi,Aplikasi kami yang lain,Unsere anderen Produkte,تطبيقاتنا,Compartir aplicación,हमारे अन्य उत्पाद,Nos autres applications
Sync prayer times to your google calendar,Namaz vakitlerini Google takviminize senkronize edin,Sinkronkan waktu sholat ke kalender Google Anda,Synchronisieren Sie die Gebetszeiten mit Ihrem Google-Kalender,تزامن مع تقويم جوجل,Nuestros otros productos,्रार्थना के समय को अपने Google कैलेंडर से सिंक करें,Synchronisez les heures de prière avec votre agenda Google
Start your Quran learning adventure,Kuran öğrenme maceranıza başlayın,Mulailah Petualangan Belajar Quran Anda,Beginnen Sie Ihr Koran-Lernabenteuer,ابدأ رحلتك لتعلم القرآن الكريم,Sincroniza los tiempos de oración con tu calendario de Google,अपना कुरान सीखने का साहसिक कार्य शुरू करें,Commencez votre aventure d\'apprentissage du Coran
Summer time correction,Yaz saati düzeltmesi,Koreksi waktu musim panas,Korrektur der Sommerzeit,دعم التوقيت الصيفي,Corrección del horario de verano,ग्रीष्मकालीन समय सुधार,Correction de l\'heure d\'été
